id,name,district,state,population,lat,lon,area
308,Burgau,Günzburg,Bayern,10159,48.43222,10.40694,25.92
309,Burgbernheim,Neustadt a.d.Aisch-Bad Windsheim,Bayern,3368,49.45,10.317,42.32
310,Burgdorf,Hanover,Niedersachsen,30899,52.45,10.00833,112.26
311,Burghausen,Altötting,Bayern,18795,48.167,12.833,19.85
312,Burgkunstadt,Lichtenfels,Bayern,6399,50.117,11.25,40.59
313,Burglengenfeld,Schwandorf,Bayern,13970,49.2,12.033,93.28
314,Burgstädt,Mittelsachsen,Sachsen,10530,50.917,12.817,25.76
315,Burgwedel,Hanover,Niedersachsen,20229,52.49333,9.85861,151.96
316,Burg,Jerichower Land,Sachsen-Anhalt,22240,52.2725,11.855,164.02
317,Burladingen,Zollernalbkreis,Baden-Württemberg,12241,48.29028,9.10944,123.33
